district,trump16_margin,obama12_margin,house_dem18_margin,house_dem_avg_margin,rpt,incumbent_party,safety,house_dem20_margin,house20_winner,govtrack_ideology,last_name
IN-6,0.403,-0.231,-0.3095653756732829,-0.3347507620430017,0.96,R,Safe,-0.4100000000000001,Rep,0.6130998561479657,b'Pence'
IN-7,-0.2279999999999999,0.276,0.2972573025239435,0.2317006342460746,0.94,D,Safe,0.248,Dem,0.1689125584621408,b'Carson'
IN-8,0.3369999999999999,-0.1879999999999999,-0.2885943403563782,-0.2391249090223863,0.95,R,Safe,-0.372,Rep,0.6936464198400666,b'Bucshon'
IN-9,0.2689999999999999,-0.165,-0.1296464856777503,-0.1651155742255574,0.98,R,Safe,-0.2769999999999999,Rep,0.5329527405521386,b'Hollingsworth'
KS-1,0.45,-0.4249999999999999,-0.3629095441595442,-0.5953064698625758,0.97,R,Safe,-0.43,Rep,0.8329486548334967,b'Marshall'
KS-2,0.184,-0.1319999999999999,-0.0084590158979628,-0.1648531242059643,0.99,R,Safe,-0.1379999999999999,Rep,0.8167146851839765,b'Watkins'
KS-3,-0.012,-0.095,0.0966255211262296,-0.2238354208704615,1.0,D,Safe,0.096,Dem,0.3607239083533225,b'Davids'
KS-4,0.272,-0.255,-0.1887281462588537,-0.2847370975175342,1.0,R,Safe,-0.28,Rep,0.6795226922923339,b'Estes'
KY-1,0.4850000000000001,-0.343,-0.3717611626350511,-0.4198063460126249,0.87,R,Safe,-0.5,Rep,0.6763517291161255,b'Comer'
KY-2,0.3989999999999999,-0.282,-0.3564708853873205,-0.5164986059003869,0.91,R,Safe,-0.4469999999999999,Rep,0.6648427822499109,b'Guthrie'
KY-3,-0.15,0.129,0.2549942594718714,0.2746140643988446,0.89,D,Safe,0.254,Dem,0.250523025722173,b'Yarmuth'
KY-4,0.359,-0.286,-0.2765725024063068,-0.3322650076104411,0.95,R,Safe,-0.3440000000000001,Rep,0.5216458791234009,b'Massie'
KY-5,0.621,-0.518,-0.5788677029772907,-0.6754698945897387,0.88,R,Safe,-0.6799999999999999,Rep,0.5114675156170513,b'Rogers'
KY-6,0.153,-0.1359999999999999,-0.0321306885713531,-0.1231753518014713,0.94,R,Safe,-0.169,Rep,0.7407912614719729,b'Barr'
LA-1,0.42,-0.44,-0.5505690151304186,-0.5740128157286599,0.94,R,Safe,-0.469,Rep,0.5834192318378166,b'Scalise'
LA-2,-0.5239999999999999,0.53,0.8059174004796976,0.6517343460991363,0.86,D,Safe,0.486,Dem,0.2422603683218625,b'Richmond'
LA-3,0.3809999999999999,-0.3379999999999999,-0.3787340969248973,-0.3928252456621546,0.89,R,Safe,-0.4989999999999999,Rep,0.6553905442113622,b'Higgins'
LA-4,0.24,-0.1929999999999999,-0.306134494079457,-0.4863090516943409,0.85,R,Safe,-0.349,Rep,0.7356553569458106,b'Johnson'
LA-5,0.294,-0.2329999999999999,-0.3657131629946505,-0.5356422191009489,0.84,R,Safe,-0.167,Rep,0.7741494336572406,b'Abraham'
LA-6,0.3379999999999999,-0.3409999999999999,-0.4895782515594451,-0.4819176212811894,0.94,R,Safe,-0.4549999999999999,Rep,0.5907604724385381,b'Graves'
MA-1,-0.207,0.297,0.976440756108806,0.79180217763243,0.74,D,Safe,0.961,Dem,0.3133386132088306,b'Neal'
MA-2,-0.194,0.195,0.3437817004980817,0.6445261293918662,0.89,D,Safe,0.33,Dem,0.1119868844489839,b'McGovern'
MA-3,-0.228,0.155,0.2854360659728561,0.2999471481523775,0.72,D,Safe,0.971,Dem,0.2608579850854849,b'Trahan'
MA-4,-0.242,0.159,0.9771847212926666,0.5824666760933594,0.85,D,Safe,0.1859999999999999,Dem,0.2001304381536722,b'Kennedy'
MA-5,-0.4359999999999999,0.321,0.5183892022458918,0.6121462239355813,0.89,D,Safe,0.477,Dem,0.2013050973250349,b'Clark'
MA-6,-0.179,0.108,0.3380642263642489,0.306801135752674,0.92,D,Safe,0.305,Dem,0.3136380376124782,b'Moulton'
MA-7,-0.7219999999999999,0.669,0.9825235582616112,0.8368081723257669,0.49,D,Safe,0.853,Dem,0.0611711583893292,b'Pressley'
